country,customer_id,total_sales,rank_no
Netherlands,12790,238.53,20
Netherlands,12789,181.50,21
Netherlands,12774,98.70,22
Netherlands,12382,-18.38,23
Nigeria,15702,140.39,1
Nigeria,,-147.05,2
Norway,12433,7052.99,1
Norway,15481,1993.34,2
Norway,12443,485.31,3
Norway,12352,343.80,4
Norway,15760,-5795.87,5
Poland,12779,2538.06,1
Poland,12576,776.89,2
Portugal,12758,6987.41,1
Portugal,12356,3562.25,2
Portugal,12766,3036.80,3
Portugal,12782,2252.72,4
Portugal,12784,1230.33,5
Portugal,12809,1220.98,6
Portugal,12425,903.61,7
Portugal,12785,773.60,8
Portugal,12800,584.25,9
Portugal,12797,531.28,10
Portugal,12811,519.05,11
Portugal,12793,471.85,12
Portugal,,424.14,13
Portugal,12808,422.45,14
Portugal,12792,413.34,15
Portugal,12771,262.50,16
Portugal,16291,117.72,17
Portugal,12776,55.50,18
Portugal,12773,0.00,19
RSA,,1435.29,1
RSA,12396,931.43,2
Singapore,12744,4037.77,1
Spain,12540,8798.25,1
Spain,12557,6725.18,2
Spain,12539,5646.40,3
Spain,12454,4292.71,4
Spain,12510,2706.76,5
Spain,12484,1808.58,6
Spain,12503,1126.00,7
Spain,12543,980.25,8
Spain,12507,539.25,9
Spain,12419,503.01,10
Spain,12450,469.07,11
Spain,12554,468.50,12
Spain,12459,454.36,13
Spain,12542,423.38,14
Spain,17097,386.03,15
Spain,12445,293.08,16
Spain,12421,286.56,17
Spain,12538,276.50,18
Spain,12413,241.35,19
Spain,12417,202.06,20
Spain,12547,175.78,21
Spain,12555,129.23,22
Spain,12570,77.52,23
Spain,12496,54.09,24
Spain,12606,21.00,25
Sweden,12482,21893.53,1
Sweden,17404,15706.00,2
Sweden,12483,2519.74,3
Sweden,12687,2138.91,4
Sweden,12629,1558.22,5
Sweden,12676,1441.70,6
Sweden,12486,1037.28,7
Sweden,12801,1031.87,8
Sweden,12639,826.27,9
Sweden,12537,732.94,10
Sweden,12485,708.10,11
Sweden,,354.00,12
Sweden,12495,323.40,13
Sweden,12807,269.95,14
Sweden,12487,259.80,15
Sweden,12638,249.80,16
Sweden,12661,162.00,17
Switzerland,12357,12079.99,1
Switzerland,12409,12033.54,2
Switzerland,12451,3613.01,3
Switzerland,13520,3192.90,4
Switzerland,12371,2179.42,5
Switzerland,12422,1952.34,6
Switzerland,12377,1798.20,7
Switzerland,13501,1529.79,8
Switzerland,12378,1407.70,9
Switzerland,12418,1348.37,10
Switzerland,12458,830.09,11
Switzerland,12457,554.53,12
Switzerland,12376,503.15,13
Switzerland,12410,320.38,14
Thailand,12469,3070.54,1
United Arab Emirates,17829,3791.18,1
United Arab Emirates,12739,1713.69,2
United Arab Emirates,12742,1185.02,3
United Arab Emirates,,876.94,4
United Arab Emirates,12979,479.54,5
United Kingdom,,1156227.90,1
United Kingdom,18102,341776.73,2
United Kingdom,13694,128172.42,3
United Kingdom,17511,83760.60,4
United Kingdom,15061,82162.74,5
United Kingdom,16684,75610.17,6
United Kingdom,13089,55828.31,7
United Kingdom,16754,54558.18,8
United Kingdom,15311,54093.73,9
United Kingdom,17850,50414.50,10
United Kingdom,13093,46332.26,11
United Kingdom,17949,46144.75,12
United Kingdom,17450,46097.22,13
United Kingdom,16029,40808.30,14
United Kingdom,15838,40053.35,15
United Kingdom,14298,39626.87,16
United Kingdom,12931,37836.86,17
United Kingdom,13798,37222.05,18
United Kingdom,15769,32445.66,19
United Kingdom,13081,30363.67,20
United Kingdom,13777,30268.22,21
United Kingdom,17841,29175.41,22
United Kingdom,16705,28707.01,23
United Kingdom,14680,27869.00,24
United Kingdom,13881,27402.98,25
United Kingdom,16422,27304.85,26
United Kingdom,17940,24976.44,27
United Kingdom,14031,23391.33,28
United Kingdom,13408,23365.44,29
United Kingdom,17389,23286.95,30
United Kingdom,16779,22527.56,31
United Kingdom,18251,21964.14,32
United Kingdom,13802,21585.29,33
United Kingdom,12748,20898.03,34
United Kingdom,17920,20305.81,35
United Kingdom,15039,19956.55,36
United Kingdom,17381,19726.76,37
United Kingdom,17677,19647.41,38
United Kingdom,16013,19422.67,39
United Kingdom,14606,18380.53,40
United Kingdom,14258,18377.27,41
United Kingdom,12921,18249.71,42
United Kingdom,13767,18169.97,43
United Kingdom,14527,18063.16,44
United Kingdom,18008,17670.94,45
United Kingdom,15856,17643.77,46
United Kingdom,17675,17507.74,47
United Kingdom,16210,17217.76,48
United Kingdom,15523,16808.03,49
United Kingdom,13078,16451.55,50
United Kingdom,17865,15490.51,51
United Kingdom,13564,15138.98,52
United Kingdom,15768,14977.63,53
United Kingdom,14062,14969.98,54
United Kingdom,15808,14524.06,55
United Kingdom,17448,14480.36,56
United Kingdom,13001,14338.13,57
United Kingdom,17428,14159.61,58
United Kingdom,17377,13925.49,59
United Kingdom,12939,13683.00,60
United Kingdom,14895,13468.56,61
United Kingdom,16019,13189.91,62
United Kingdom,15513,12744.37,63
United Kingdom,14667,12489.39,64
United Kingdom,17243,12080.66,65
United Kingdom,14088,11984.53,66
United Kingdom,13687,11880.84,67
United Kingdom,17589,11500.65,68
United Kingdom,15498,11464.35,69
United Kingdom,16525,11455.17,70
United Kingdom,15640,11402.07,71
United Kingdom,13340,11364.08,72
United Kingdom,16746,11337.54,73
United Kingdom,12949,11247.98,74
United Kingdom,14134,11123.35,75
United Kingdom,13319,11041.75,76
United Kingdom,17044,10970.17,77
United Kingdom,15615,10922.03,78
United Kingdom,16553,10891.30,79
United Kingdom,18052,10877.18,80
United Kingdom,16652,10658.57,81
United Kingdom,18087,10641.50,82
United Kingdom,17416,10383.13,83
United Kingdom,16191,10248.80,84
United Kingdom,13027,10236.00,85
United Kingdom,17716,10165.53,86
United Kingdom,14299,9972.42,87
United Kingdom,18172,9811.66,88
United Kingdom,13225,9796.23,89
United Kingdom,15251,9768.49,90
United Kingdom,13952,9544.80,91
United Kingdom,14091,9530.08,92
United Kingdom,17340,9520.46,93
United Kingdom,17706,9446.53,94
United Kingdom,16843,9344.96,95
United Kingdom,14952,9331.46,96
United Kingdom,14961,9322.32,97
United Kingdom,14543,9277.84,98
United Kingdom,15093,9247.74,99
United Kingdom,16549,9005.00,100
United Kingdom,14040,8915.65,101
United Kingdom,17139,8906.04,102
United Kingdom,15291,8854.73,103
United Kingdom,15032,8821.55,104
United Kingdom,12980,8817.33,105
United Kingdom,15358,8602.55,106
United Kingdom,15738,8553.35,107
United Kingdom,14160,8421.47,108
United Kingdom,14739,8370.47,109
United Kingdom,16126,8359.03,110
United Kingdom,13206,8280.13,111
United Kingdom,13178,8272.42,112
United Kingdom,15044,8212.15,113
United Kingdom,15601,8173.86,114
United Kingdom,16782,8106.71,115
United Kingdom,17133,8079.85,116
United Kingdom,14045,8000.88,117
United Kingdom,15078,7953.17,118
United Kingdom,16133,7923.22,119
United Kingdom,13013,7814.83,120
United Kingdom,16656,7739.48,121
United Kingdom,15382,7718.64,122
United Kingdom,13680,7713.25,123
United Kingdom,14828,7663.70,124
United Kingdom,14849,7638.16,125
United Kingdom,15005,7582.78,126
United Kingdom,17858,7567.64,127
United Kingdom,16713,7540.31,128
United Kingdom,17581,7511.36,129
United Kingdom,16873,7480.72,130
United Kingdom,13162,7471.95,131
United Kingdom,13468,7434.86,132
United Kingdom,14049,7424.88,133
United Kingdom,14607,7404.46,134
United Kingdom,13715,7384.40,135
United Kingdom,15497,7383.76,136
United Kingdom,15260,7317.61,137
United Kingdom,18225,7289.89,138
United Kingdom,14110,7287.95,139
United Kingdom,17364,7228.82,140
United Kingdom,14194,7226.12,141
United Kingdom,14426,7185.07,142
United Kingdom,18223,7182.35,143
United Kingdom,18260,7156.95,144
United Kingdom,18092,7107.43,145
United Kingdom,16161,7095.99,146
United Kingdom,13316,7091.44,147
United Kingdom,17409,7021.66,148
United Kingdom,15555,6985.88,149
United Kingdom,13097,6968.41,150
United Kingdom,16550,6903.07,151
United Kingdom,16327,6861.30,152
United Kingdom,15874,6804.33,153
United Kingdom,16168,6768.48,154
United Kingdom,13735,6706.63,155
United Kingdom,17160,6683.33,156
United Kingdom,13174,6677.81,157
United Kingdom,16258,6630.01,158
United Kingdom,14051,6627.16,159
United Kingdom,15296,6613.62,160
United Kingdom,13488,6603.12,161
United Kingdom,13199,6601.02,162
United Kingdom,14733,6599.06,163
United Kingdom,17504,6568.09,164
United Kingdom,18226,6556.48,165
United Kingdom,13668,6533.07,166
United Kingdom,14866,6460.32,167
United Kingdom,16131,6359.73,168
United Kingdom,17230,6229.24,169
United Kingdom,16984,6207.00,170
United Kingdom,17085,6202.36,171
United Kingdom,13050,6137.83,172
United Kingdom,16923,6126.55,173
United Kingdom,13327,6123.46,174
United Kingdom,13935,6116.92,175
United Kingdom,14415,6103.57,176
United Kingdom,14735,6102.02,177
United Kingdom,13113,6090.25,178
United Kingdom,15281,6077.67,179
United Kingdom,13758,6072.59,180
United Kingdom,13418,6070.72,181
United Kingdom,16709,6057.59,182
United Kingdom,12835,6018.67,183
United Kingdom,12989,5992.29,184
United Kingdom,16814,5990.61,185
United Kingdom,16180,5952.79,186
United Kingdom,14422,5937.28,187
United Kingdom,13941,5933.74,188
United Kingdom,14505,5900.10,189
United Kingdom,14855,5874.65,190
United Kingdom,17809,5871.23,191
United Kingdom,15981,5859.59,192
United Kingdom,15984,5854.15,193
United Kingdom,13615,5812.24,194
United Kingdom,14030,5785.50,195
United Kingdom,14676,5742.25,196
United Kingdom,15218,5699.11,197
United Kingdom,14085,5656.43,198
United Kingdom,14249,5625.46,199
United Kingdom,16839,5610.49,200
United Kingdom,13629,5578.50,201
United Kingdom,13999,5572.75,202
United Kingdom,13004,5530.56,203
United Kingdom,15144,5476.47,204
United Kingdom,16558,5461.92,205
United Kingdom,17576,5427.88,206
United Kingdom,17338,5424.39,207
United Kingdom,13047,5387.62,208
United Kingdom,15023,5329.03,209
United Kingdom,15465,5281.13,210
United Kingdom,14146,5259.30,211
United Kingdom,15179,5240.62,212
United Kingdom,17107,5236.39,213
United Kingdom,15950,5233.25,214
United Kingdom,15547,5186.05,215
United Kingdom,17696,5179.84,216
United Kingdom,15867,5177.06,217
United Kingdom,13141,5150.83,218
United Kingdom,15570,5137.02,219
United Kingdom,15998,5136.22,220
United Kingdom,13267,5107.77,221
United Kingdom,13102,5103.83,222
United Kingdom,15719,5090.40,223
United Kingdom,16985,5084.14,224
United Kingdom,13090,5081.89,225
United Kingdom,14769,5055.07,226
United Kingdom,17146,5046.21,227
United Kingdom,13069,5029.65,228
United Kingdom,15125,5007.28,229
United Kingdom,13869,5006.62,230
United Kingdom,16186,4991.97,231
United Kingdom,13448,4982.08,232
United Kingdom,12747,4968.58,233
United Kingdom,16170,4933.25,234
United Kingdom,17739,4932.09,235
United Kingdom,14154,4917.98,236
United Kingdom,14135,4914.74,237
United Kingdom,16008,4905.35,238
United Kingdom,15270,4895.79,239
United Kingdom,14755,4886.07,240
United Kingdom,17157,4832.90,241
United Kingdom,14243,4829.48,242
United Kingdom,13576,4812.85,243
United Kingdom,14329,4806.78,244
United Kingdom,13831,4806.19,245
United Kingdom,18231,4782.00,246
United Kingdom,14113,4778.83,247
United Kingdom,13148,4775.12,248
United Kingdom,13599,4759.74,249
United Kingdom,13555,4757.06,250
United Kingdom,12823,4742.00,251
United Kingdom,14395,4688.90,252
United Kingdom,15194,4666.51,253
United Kingdom,12843,4664.85,254
United Kingdom,12957,4649.38,255
United Kingdom,17068,4595.09,256
United Kingdom,14461,4594.54,257
United Kingdom,15544,4591.61,258
United Kingdom,15298,4581.93,259
United Kingdom,16103,4573.12,260
United Kingdom,13381,4558.21,261
United Kingdom,12971,4552.48,262
United Kingdom,16200,4549.33,263
United Kingdom,13426,4526.06,264
United Kingdom,17308,4511.76,265
United Kingdom,18041,4508.51,266
United Kingdom,13958,4504.78,267
United Kingdom,17965,4495.21,268
United Kingdom,18178,4481.08,269
United Kingdom,15674,4473.83,270
United Kingdom,17873,4465.20,271
United Kingdom,16701,4464.32,272
United Kingdom,14648,4458.21,273
United Kingdom,14105,4443.65,274
United Kingdom,18055,4411.38,275
United Kingdom,13983,4402.95,276
United Kingdom,16749,4387.08,277
United Kingdom,18061,4361.06,278
United Kingdom,14918,4345.66,279
United Kingdom,14081,4345.38,280
United Kingdom,12839,4344.21,281
United Kingdom,14685,4324.31,282
United Kingdom,13590,4322.17,283
United Kingdom,16938,4306.80,284
United Kingdom,16125,4298.30,285
United Kingdom,16556,4296.44,286
United Kingdom,13373,4274.94,287
United Kingdom,15727,4266.55,288
United Kingdom,13044,4263.73,289
United Kingdom,17611,4257.51,290
United Kingdom,15805,4256.75,291
United Kingdom,16722,4256.62,292
United Kingdom,16118,4255.43,293
United Kingdom,14175,4242.38,294
United Kingdom,15750,4241.32,295
United Kingdom,13329,4236.62,296
United Kingdom,15955,4232.80,297
United Kingdom,13969,4226.08,298
United Kingdom,12913,4217.23,299
United Kingdom,13451,4203.52,300
United Kingdom,16279,4195.50,301
United Kingdom,16945,4185.16,302
United Kingdom,15633,4173.41,303
United Kingdom,14440,4169.15,304
United Kingdom,15898,4149.68,305
United Kingdom,15980,4147.42,306
United Kingdom,15694,4142.86,307
United Kingdom,13854,4133.19,308
United Kingdom,17593,4132.44,309
United Kingdom,17700,4121.98,310
United Kingdom,14282,4115.32,311
United Kingdom,15521,4099.79,312
United Kingdom,15622,4093.55,313
United Kingdom,16858,4085.74,314
United Kingdom,14292,4068.57,315
United Kingdom,17584,4067.12,316
United Kingdom,13137,4062.29,317
United Kingdom,17457,4061.31,318
United Kingdom,17735,4052.56,319
United Kingdom,16700,4044.06,320
United Kingdom,17238,4038.45,321
United Kingdom,17138,4036.77,322
United Kingdom,16456,4027.04,323
United Kingdom,17625,4020.80,324
United Kingdom,13931,4019.85,325
United Kingdom,13394,4011.08,326
United Kingdom,14766,4008.91,327
United Kingdom,15034,4004.79,328
United Kingdom,13756,4002.08,329
United Kingdom,17049,3999.00,330
United Kingdom,17091,3974.69,331
United Kingdom,14291,3971.10,332
United Kingdom,13542,3970.77,333
United Kingdom,14025,3969.10,334
United Kingdom,14101,3965.34,335
United Kingdom,17231,3963.25,336
United Kingdom,14709,3955.34,337
United Kingdom,16954,3952.25,338
United Kingdom,15372,3947.02,339
United Kingdom,13157,3946.14,340
United Kingdom,12836,3933.61,341
United Kingdom,16546,3933.29,342
United Kingdom,13317,3928.46,343
United Kingdom,17838,3926.85,344
United Kingdom,14210,3913.43,345
United Kingdom,17204,3910.78,346
United Kingdom,15321,3909.92,347
United Kingdom,14525,3908.44,348
United Kingdom,12867,3876.47,349
United Kingdom,14560,3876.26,350
United Kingdom,15823,3874.62,351
United Kingdom,14841,3867.24,352
United Kingdom,16992,3858.24,353
United Kingdom,14145,3857.85,354
United Kingdom,16710,3853.30,355
United Kingdom,16242,3835.04,356
United Kingdom,14944,3831.97,357
United Kingdom,13883,3803.99,358
United Kingdom,16636,3802.04,359
United Kingdom,14286,3800.89,360
United Kingdom,17092,3785.53,361
United Kingdom,16670,3764.20,362
United Kingdom,17757,3757.35,363
United Kingdom,16072,3744.57,364
United Kingdom,12917,3735.50,365
United Kingdom,15903,3733.48,366
United Kingdom,16497,3729.59,367
United Kingdom,18245,3728.67,368
United Kingdom,15150,3686.61,369
United Kingdom,16409,3680.16,370
United Kingdom,13082,3673.44,371
United Kingdom,17802,3664.00,372
United Kingdom,18064,3627.18,373
United Kingdom,15755,3618.07,374
United Kingdom,16253,3611.29,375
United Kingdom,13446,3608.86,376
United Kingdom,13654,3600.67,377
United Kingdom,13107,3585.55,378
United Kingdom,15786,3558.65,379
United Kingdom,13230,3553.81,380
United Kingdom,16592,3551.18,381
United Kingdom,13269,3545.47,382
United Kingdom,14625,3543.05,383
United Kingdom,14514,3539.38,384
United Kingdom,13136,3532.42,385
United Kingdom,15673,3528.82,386
United Kingdom,18229,3526.81,387
United Kingdom,15785,3521.58,388
United Kingdom,16336,3517.69,389
United Kingdom,12841,3514.08,390
United Kingdom,14459,3501.22,391
United Kingdom,14844,3498.62,392
United Kingdom,13763,3492.53,393
United Kingdom,13593,3484.93,394
United Kingdom,15159,3475.72,395
United Kingdom,15641,3458.35,396
United Kingdom,18065,3456.80,397
United Kingdom,15299,3456.53,398
United Kingdom,13734,3451.29,399
United Kingdom,14702,3445.08,400
United Kingdom,17876,3424.02,401
United Kingdom,13031,3419.27,402
United Kingdom,14388,3417.26,403
United Kingdom,15129,3412.78,404
United Kingdom,17365,3404.27,405
United Kingdom,15571,3401.20,406
United Kingdom,15812,3385.03,407
United Kingdom,17307,3378.31,408
United Kingdom,14060,3367.76,409
United Kingdom,16732,3363.04,410
United Kingdom,16735,3362.80,411
United Kingdom,17315,3354.09,412
United Kingdom,16182,3354.00,413
United Kingdom,13491,3350.74,414
United Kingdom,13658,3350.60,415
United Kingdom,13324,3348.57,416
United Kingdom,16563,3334.82,417
United Kingdom,16353,3310.22,418
United Kingdom,15369,3305.88,419
United Kingdom,18094,3305.32,420
United Kingdom,17663,3292.77,421
United Kingdom,14852,3286.94,422
United Kingdom,13993,3280.70,423
United Kingdom,13214,3264.23,424
United Kingdom,17519,3263.73,425
United Kingdom,13722,3260.00,426
United Kingdom,13495,3256.49,427
United Kingdom,13357,3228.41,428
United Kingdom,16570,3218.87,429
United Kingdom,16153,3213.28,430
United Kingdom,16940,3195.53,431
United Kingdom,17799,3190.66,432
United Kingdom,18194,3188.20,433
United Kingdom,14800,3179.25,434
United Kingdom,15002,3175.52,435
United Kingdom,14028,3175.50,436
United Kingdom,13115,3168.82,437
United Kingdom,13659,3165.78,438
United Kingdom,17612,3163.38,439
United Kingdom,14530,3151.24,440
United Kingdom,14092,3146.64,441
United Kingdom,13139,3138.04,442
United Kingdom,15367,3138.04,442
United Kingdom,15502,3132.07,443
United Kingdom,15680,3130.80,444
United Kingdom,17412,3126.92,445
United Kingdom,16351,3125.23,446
United Kingdom,13953,3125.00,447
United Kingdom,13015,3119.44,448
United Kingdom,17469,3115.28,449
United Kingdom,17646,3098.50,450
United Kingdom,17644,3095.56,451
United Kingdom,13771,3094.37,452
United Kingdom,13552,3079.10,453
United Kingdom,14221,3078.74,454
United Kingdom,12872,3078.37,455
United Kingdom,17618,3076.36,456
United Kingdom,17913,3068.04,457
United Kingdom,15394,3067.86,458
United Kingdom,17069,3063.18,459
United Kingdom,13183,3053.10,460
United Kingdom,15485,3049.51,461
United Kingdom,18075,3041.19,462
United Kingdom,13562,3038.85,463
United Kingdom,17769,3034.03,464
United Kingdom,17287,3031.60,465
United Kingdom,16717,3031.60,465
United Kingdom,14535,3031.54,466
United Kingdom,13875,3027.58,467
United Kingdom,15538,3027.15,468
United Kingdom,16067,3026.19,469
United Kingdom,16718,3023.78,470
United Kingdom,16986,3015.55,471
United Kingdom,17145,3014.64,472
United Kingdom,14227,3011.60,473
United Kingdom,15614,3008.86,474
United Kingdom,17861,3005.39,475
United Kingdom,14593,2997.18,476
United Kingdom,13769,2994.76,477
United Kingdom,17372,2982.75,478
United Kingdom,17526,2970.14,479
United Kingdom,13037,2961.48,480
United Kingdom,13291,2959.73,481
United Kingdom,13985,2957.78,482
United Kingdom,16325,2953.30,483
United Kingdom,16145,2951.62,484
United Kingdom,15939,2945.38,485
United Kingdom,13634,2944.39,486
United Kingdom,16444,2943.61,487
United Kingdom,15722,2938.84,488
United Kingdom,13870,2938.59,489
United Kingdom,14532,2913.58,490
United Kingdom,16156,2908.97,491
United Kingdom,17819,2907.65,492
United Kingdom,16736,2904.51,493
United Kingdom,17931,2897.60,494
United Kingdom,14159,2893.58,495
United Kingdom,14465,2887.41,496
United Kingdom,14590,2884.29,497
United Kingdom,16003,2878.46,498
United Kingdom,14209,2870.24,499
United Kingdom,14047,2868.72,500
United Kingdom,16467,2862.40,501
United Kingdom,16400,2855.51,502
United Kingdom,15421,2854.98,503
United Kingdom,14257,2854.73,504
United Kingdom,14796,2851.61,505
United Kingdom,15122,2849.29,506
United Kingdom,14913,2845.70,507
United Kingdom,14882,2836.85,508
United Kingdom,15222,2830.66,509
United Kingdom,14824,2824.80,510
United Kingdom,13975,2824.06,511
United Kingdom,13052,2820.38,512
United Kingdom,14441,2816.45,513
United Kingdom,13205,2803.20,514
United Kingdom,15079,2793.09,515
United Kingdom,14540,2789.18,516
United Kingdom,16772,2785.60,517
United Kingdom,15255,2779.92,518
United Kingdom,16283,2779.86,519
United Kingdom,14817,2778.87,520
United Kingdom,16316,2777.75,521
United Kingdom,16208,2776.19,522
United Kingdom,14572,2769.59,523
United Kingdom,17754,2769.47,524
United Kingdom,15817,2766.40,525
United Kingdom,14732,2761.18,526
United Kingdom,14112,2750.34,527
United Kingdom,14770,2748.47,528
United Kingdom,16335,2747.00,529
United Kingdom,17241,2744.14,530
United Kingdom,16571,2739.83,531
United Kingdom,18145,2738.54,532
